,ERA,HOF,Opposing_BA,completed,firstName,games,hits,homeruns,lastName,losses,outs_pitched,player_id,runs_earned,saves,seasons,shutouts,started,strikes,walks,wins,WAR,ERA,wins,strikes,games,seasons,Opposing_BA,predictions
125,3.7330769230769234,0,0.25230769230769234,525.01,Michael Francis,565.0,4587.0,106.01,Welch,210.01,14406.0,welchmi01,1447.0,4.1,13.0,41.02,549.0,1850.0,1297.0,307.01,-0.77,3.7330769230769234,307.01,1850.0,565.0,13.0,0.25230769230769234,0
126,3.395454545454545,0,0.23909090909090905,249.0,George Edward,279.0,2594.0,61.01,Weidman,156.0,6955.0,wiedmst01,928.0,2.0999999999999983,11.0,13.05,269.0,910.0,459.0,101.02,-7.21,3.395454545454545,101.02,910.0,279.0,11.0,0.23909090909090905,0
127,3.77,0,0.2766666666666667,105.0,George Henry,110.0,1064.0,14.0,Derby,56.0,2893.0,derbyge01,322.0,1.02,3.0,12.01,107.0,428.0,182.0,48.0,-1.87,3.77,48.0,428.0,110.0,3.0,0.2766666666666667,0
129,5.001428571428572,0,0.05,215.0,John H.,221.0,2048.0,54.0,Lynch,105.0,5773.0,lynchja01,789.0,0.07,7.0,8.03,217.0,859.0,295.0,110.01,-1.83,5.001428571428572,110.01,859.0,221.0,7.0,0.05,0
130,3.676,0,0.14466666666666667,468.0,Anthony John,555.0,4195.0,98.0,Mullane,220.0,13594.0,mullato01,1537.0,15.07,15.0,30.07000000000001,504.0,1803.0,1408.0,284.0,7.51,3.676,284.0,1803.0,555.0,15.0,0.14466666666666667,0
131,2.890909090909091,0,1.1245454545454543,489.0,Charles Gardner,528.0,4335.0,117.0,Radbourn,195.0,13606.0,radboch01,1348.0,2.0899999999999985,11.0,35.0,503.0,1830.0,875.0,309.0,2.5,2.890909090909091,309.0,1830.0,528.0,11.0,1.1245454545454543,0
133,3.5180000000000002,0,0.228,377.0,James Evans,413.0,3598.0,79.0,Whitney,204.0,10489.0,whitnji01,1154.0,2.0899999999999985,10.0,26.020000000000003,396.0,1571.0,411.0,191.0,8.92,3.5180000000000002,191.0,1571.0,413.0,10.0,0.228,0
138,3.3463636363636367,0,1.1190909090909091,351.0,Charles G.,414.0,3344.0,87.0,Buffinton,152.0,10212.0,buffich01,1120.0,3.08,11.0,30.030000000000005,396.0,1700.0,856.0,233.0,1.48,3.3463636363636367,233.0,1700.0,414.0,11.0,1.1190909090909091,0
140,3.0230769230769234,0,0.246923076923077,485.0,John Gibson,531.0,4295.0,161.01,Clarkson,178.0,13609.0,clarkjo01,1417.0,5.1,13.0,37.03,518.0,1978.0,1191.0,328.0,-1.69,3.0230769230769234,328.0,1978.0,531.0,13.0,0.246923076923077,0
143,3.5785714285714283,0,0.1542857142857143,157.0,Hugh Ignatius,165.0,1394.0,30.01,Daily,87.0,4245.0,dailyhu01,459.0,1.06,7.0,10.04,163.0,846.0,369.0,73.01,-2.88,3.5785714285714283,73.01,846.0,165.0,7.0,0.1542857142857143,0
151,3.303333333333333,0,0.043333333333333335,310.0,Guy Jackson,334.0,2905.0,50.01,Hecker,146.0,8718.0,heckegu01,944.0,1.08,9.0,15.04,320.0,1099.0,489.0,173.0,11.16,3.303333333333333,173.0,1099.0,334.0,9.0,0.043333333333333335,0
154,3.4114285714285715,0,0.01,177.0,George Washington,187.0,1572.0,21.0,McGinnis,79.0,4811.0,mcginju01,525.0,0.07,7.0,18.020000000000003,186.0,562.0,294.0,102.0,-0.76,3.4114285714285715,102.0,562.0,187.0,7.0,0.01,0
171,3.6033333333333335,0,1.1444444444444444,191.0,Edward Enoch,215.0,1909.0,43.04,Bakley,125.0,5348.0,bakelje01,725.0,0.09,9.0,7.06,204.0,669.0,564.0,76.01,-0.99,3.6033333333333335,76.01,669.0,215.0,9.0,1.1444444444444444,0
