player_id,WAR
anderan01,-1.85
anderbi01,-0.02
anderbo01,-0.53
anderbr01,34.81
anderbr02,-0.48
anderbr03,-0.16
anderbr04,-0.1
anderbr05,-0.51
anderbr06,-0.1
anderbu01,0.05
anderch01,-1.02
anderco01,-0.04
andercr01,-0.08
anderda01,-0.55
anderda02,5.85
anderdr01,-0.12
anderdr02,0
anderdw01,-1.32
anderfe01,0.22
anderfr01,-1.73
anderga01,25.6
anderge01,2.45
andergo01,0.35
anderha01,-0.22
anderha02,5.21
anderja01,0.01
anderji01,1.01
anderji02,0.21
anderjo01,28.81
anderjo02,-0.04
anderjo03,0.4
anderke01,0.82
anderla01,0
anderla02,0.48
anderla03,-0.33
anderma01,0.13
anderma02,7.25
andermi01,4.49
andermi02,-0.01
anderre01,0.28
anderri01,0
anderri02,-0.1
andersc01,-0.07
andersp01,-1.2
anderti01,3.68
anderty01,-0.29
anderva01,0.52
anderwa01,0.03
anderwi01,-0.01
andinro01,2.07
andrast01,0
andrecl01,-0.04
andreed01,2.07
andreel01,0
andreer01,-0.46
andrefr01,-0.03
andrehu01,0
andreiv01,-0.71
andreji01,-0.53
andrejo01,-0.09
andrejo02,0.04
andreki01,0.08
andremi01,10.87
andrena01,-0.55
andrero01,0.95
andresh01,2.01
andrest01,-0.76
andrewa01,0.45
andrima01,-0.01
andrubi01,-0.23
andruel01,28.76
andrufr01,-0.09
andruwi01,-0.08
andujjo01,-0.44
andujlu01,0.01
andujmi01,0.24
angelno01,-0.03
anglema01,-0.36
angleto01,-0.11
ankenpa01,-0.08
ankieri01,5.12
annade01,0.17
annisbi01,-0.91
ansonca01,93.92
anthoer01,-0.2
antoldu01,
antoljo01,0.05
antonbi01,-0.3
antonjo01,-1.24
antonjo02,0.81
antonma01,-0.25
aokino01,10.83
aparilu01,55.72
apodabo01,0.22
apontlu01,0.07
appieke01,-0.16
appleed01,-0.12
applefr01,0.02
applepe01,0.56
applilu01,74.45
aquingr01,0.01
aquinja01,-0.03
aquinlu01,-0.12
aragoan01,-0.75
aragoja01,0
aranovi01,0
araujel01,0.03
archdma01,1.55
archech01,-0.19
archefr01,0.09
archeji01,5.48
archeji02,-0.62
archige01,0.49
arciajo01,-3.46
arciaor01,2.32
arciaos01,-1.42
ardelda01,0
ardizru01,0
ardnejo01,-1.47
ardoida01,0.26
arellfr01,-0.01
arenano01,27.36
arencjp01,2.71
arftha01,0.2
ariasal01,2
ariasal02,-0.02
ariasge01,0.03
ariasjo01,1.09
ariasru01,-0.06
arletbu01,2.82
arlicdo01,-0.04
arlinst01,0.48
armasma01,0.14
armasto01,15.71
armasto02,-1.42
armbrch01,-0.58
armbred01,-0.05
armbrha01,1.2
armbror01,-0.08
armstge01,0.01
armstho01,-0.02
armstja01,-1.16
armstmi01,0.1
armstsa01,-0.19
armstsh01,0
arndtha01,1.5
arndtla01,-0.1
arnolbi01,-0.04
arnolch01,-0.76
arnolja01,0.08
arnolsc01,0
arnolto01,0.03
arnovmo01,7.47
arnsbbr01,0.06
arntzor01,-0.14
arochre01,-0.05
arojo01,
arredjo01,0.15
arrieja01,1.4
arrigge01,0.19
arrojro01,-0.3
arroybr01,-0.76
arroych01,-0.44
arroyfe01,0.06
arroylu01,0.35
arroyru01,-0.02
arrueba01,-0.39
arundha01,-0.05
arundtu01,-1.82
asadora01,0.27
asbelji01,-0.27
asbjoca01,-0.53
ascanjo01,-0.02
ascheco01,-2.29
asencmi01,-0.06
ashburi01,63.59
ashbyal01,11.12
ashbyan01,-0.43
asheral01,0.06
ashfotu01,-1.77
ashke01,-0.35
ashlebi01,-2.09
ashlene01,-0.19
asmusto01,-0.12
asprobo01,1.16
asproke01,1.81
asselbr01,-1.15
assenpa01,0.49
astacez01,-0.09
astacpe01,-2.47
astinba01,-0.01
astrojo01,1.73
asuajca01,0.16
atchisc01,0.07
atchlju01,-0.01
atherch01,-0.54
atherke01,0.22
atilalu01,-0.3
atkinal01,-0.94
atkinbi01,0.12
atkined01,-0.13
atkinga01,3.92
atkinja01,0.06
atkinle01,-0.03
atkinmi01,-0.03
atkinto01,-0.17
attredi01,-1.07
atwelto01,2.35
atwoobi01,-0.78
atzja01,3.08
aubreha01,-1.6
aubremi01,0.22
aucoide01,0
auderi01,-1
auerbri01,1.06
augenbr01,0.08
augusda01,-0.32
augusdo01,0.06
augusje01,0.16
aukerel01,-0.35
auldsle01,-0.03
aultdo01,0.26
aumonph01,0.06
aurilri01,18.09
ausanjo01,0.02
ausmubr01,16.45
austde01,-0.03
austihe01,-0.17
austije01,-0.03
austiji01,22.62
austiji02,0.05
austiri01,0.04
austity01,-0.25
autryal01,-0.03
autrych01,-1.02
autrych02,-0.54
avenbr01,1.65
averiea01,48.01
averiea02,3.53
averyst01,1.47
averyxa01,-0.3
avilaal01,14.75
avilabo01,27.81
avilalu01,0.18
avilemi01,6.11
avilera01,-0.09
avreaja01,-0.04
axelrdy01,-0.01
axforjo01,0.21
ayalabe01,1.11
ayalabo01,-0.14
ayalalu01,0.44
aybarer01,23.82
aybarma01,0.35
aybarwi01,2.74
aydelja01,-0.4
ayersbi01,0.05
ayersdo01,-1.09
aylwadi01,-0.07
ayraubo01,0.01
ayraujo01,-0.03
azcuejo01,8.48
azocaos01,-0.18
babbch01,4
babcobo01,0.02
babelo01,-1.33
babicjo01,-0.58
babinch01,-0.17
babitsh01,0.34
backebr01,2.17
backmle01,-0.17
backmwa01,13.12
baconed01,0.16
bacsimi01,0.04
bacsimi02,-0.15
baczefr01,-0.59
badenbu01,-0.05
baderar01,-0.03
baderha01,0.14
baderlo01,-0.04
badgrre01,-1.1
baeched01,-0.16
baekch01,0.31
baergca01,19.55
baezbe01,-0.01
baezda01,0.25
baezja01,5.78
baezjo01,1.56
