,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,firstName,games,hits,lastName,player_id,runs,seasons,WAR
10149,65.0,18.01,0.25,163.0,32.0,N,24.02,1.0,0.328125,0.6826419082125603,68.0,5.0,0.3545169082125603,Carlos Manuel,506.0,414.0,Febles,febleca01,255.0,6.0,3.49
10150,116.02,12.04,0.258322798145807,235.0,22.0,N,69.00999999999999,19.0,0.3278070836473248,0.7324130676338398,6.059999999999999,24.0,0.404605983986515,Robert Charles John,846.0,613.0,Fick,fickro01,287.0,11.0,2.22
10151,0.02,0.02,0.17647058823529413,0.02,0.0,N,0.02,0.0,0.17743830787309048,0.3609677196377964,0.02,0.0,0.18352941176470589,Patrick Joseph,12.0,3.0,Forbes,forbepj01,1.01,2.0,0.0
10152,6.0,0.01,0.2247191011235955,7.0,0.0,N,0.01,0.0,0.27835051546391754,0.5710471446774007,0.01,1.0,0.29269662921348316,Stephen Michael,28.0,20.0,Frank,frankmi02,14.0,1.0,-0.29
10153,0.01,0.01,1.0,0.01,0.0,N,0.01,0.0,1.0,8.0,0.01,0.0,7.000000000000001,Stephen Robert,9.0,0.01,Gajkowski,gajkost01,0.01,1.0,0.0
10154,2.01,0.02,0.2,2.01,0.0,N,2.01,0.0,0.2382766008093311,0.640276600809331,0.02,0.0,0.40199999999999997,Guillermo Antonio,16.0,8.0,Garcia,garcigu01,3.01,2.0,0.11
10155,75.0,3.049999999999999,0.26252646436132676,251.0,16.0,N,52.0,10.0,0.3769911504424779,0.8068429500190482,1.06,11.0,0.4298517995765702,Jeremy Dean,510.0,372.0,Giambi,giambje01,219.0,7.0,3.33
10156,2.0,0.02,0.2857142857142857,1.01,2.0,N,2.01,0.0,0.32705248990578734,0.7774606531710935,0.02,0.0,0.45040816326530614,Derrick Lamont,17.0,14.0,Gibson,gibsode01,6.0,2.0,0.32
10157,15.02,7.039999999999999,0.2367601246105919,30.01,5.0,N,0.08,1.0,0.310943671045629,0.6391056648150993,16.0,1.0,0.32816199376947036,Charles Wells,373.0,76.0,Gipson,gipsoch01,78.0,8.0,0.91
10158,293.0,10.049999999999999,0.2541589648798521,854.0,46.0,Y,320.01,40.0,0.35798583792289534,0.8474738231354646,56.03999999999999,45.0,0.4894879852125693,Troy Edward,1537.0,1375.0,Glaus,glaustr01,889.0,13.0,37.92
10159,332.01,31.060000000000006,0.24549861495844874,300.0,79.0,N,157.01,48.0,0.2899322362052275,0.6852161697232331,30.070000000000007,43.0,0.3952839335180055,Alexander,1609.0,1418.0,Gonzalez,gonzaal02,667.0,18.0,9.21
10160,0.01,0.01,1.0,0.01,0.0,N,0.01,0.0,1.0,8.0,0.01,0.0,7.000000000000001,Lariel Alfonso,1.0,0.01,Gonzalez,gonzala02,0.01,1.0,0.0
